Stations ID; Zeit; QUALITAETS_NIVEAU; STRUKTUR_VERSION; Lufttemperatur [Grad C]; Relative Luftfeuchte [%]; eor                                                                                                                                                                                                                                                                 
    13667;  2020030100;   2;0;    9.4;   66;eor                                                                                                                                                         
    13667;  2020030101;   2;0;    9.3;   66;eor                                                                                                                                                         
    13667;  2020030102;   2;0;    9.1;   60;eor                                                                                                                                                         
    13667;  2020030103;   2;0;    8.8;   66;eor                                                                                                                                                         
    13667;  2020030104;   2;0;    9.0;   64;eor                                                                                                                                                         
    13667;  2020030105;   2;0;    8.8;   64;eor                                                                                                                                                         
    13667;  2020030106;   2;0;    8.6;   64;eor                                                                                                                                                         
    13667;  2020030107;   2;0;    9.0;   61;eor                                                                                                                                                         
    13667;  2020030108;   2;0;    9.7;   61;eor                                                                                                                                                         
    13667;  2020030109;   2;0;   10.3;   58;eor                                                                                                                                                         
    13667;  2020030110;   2;0;   11.0;   54;eor                                                                                                                                                         
    13667;  2020030111;   2;0;   11.7;   54;eor                                                                                                                                                         
    13667;  2020030112;   2;0;   13.1;   46;eor                                                                                                                                                         
    13667;  2020030113;   2;0;   12.8;   48;eor                                                                                                                                                         
    13667;  2020030114;   2;0;   13.8;   45;eor                                                                                                                                                         
    13667;  2020030115;   2;0;   14.2;   43;eor                                                                                                                                                         
    13667;  2020030116;   2;0;   14.3;   39;eor                                                                                                                                                         
    13667;  2020030117;   2;0;   12.6;   51;eor                                                                                                                                                         
    13667;  2020030118;   2;0;   12.1;   56;eor                                                                                                                                                         
    13667;  2020030119;   2;0;    9.5;   61;eor                                                                                                                                                         
    13667;  2020030120;   2;0;    8.9;   64;eor                                                                                                                                                         
    13667;  2020030121;   2;0;    7.1;   69;eor                                                                                                                                                         
    13667;  2020030122;   2;0;    6.7;   69;eor                                                                                                                                                         
    13667;  2020030123;   2;0;    6.6;   70;eor                                                                                                                                                         
    13667;  2020030200;   2;0;    6.7;   70;eor                                                                                                                                                         
    13667;  2020030201;   2;0;    7.0;   68;eor                                                                                                                                                         
    13667;  2020030202;   2;0;    7.4;   64;eor                                                                                                                                                         
    13667;  2020030203;   2;0;    7.1;   64;eor                                                                                                                                                         
    13667;  2020030204;   2;0;    6.5;   67;eor                                                                                                                                                         
    13667;  2020030205;   2;0;    6.1;   66;eor                                                                                                                                                         
    13667;  2020030206;   2;0;    5.7;   66;eor                                                                                                                                                         
    13667;  2020030207;   2;0;    6.3;   64;eor                                                                                                                                                         
    13667;  2020030208;   2;0;    6.6;   65;eor                                                                                                                                                         
    13667;  2020030209;   2;0;    6.8;   68;eor                                                                                                                                                         
